"deviceid","name","company_name"
400018,"569",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400019,"555",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400020,"582",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400021,"558",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400022,"556",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400023,"581",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400024,"595",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400025,"552",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400042,"584",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400043,"579",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400044,"575",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400045,"561",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400046,"573",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400048,"576",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400049,"574",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400051,"577",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400055,"560",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400085,"587",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400086,"559",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400087,"563",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400088,"565",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400089,"504",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400090,"568",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400091,"572",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400093,"583",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400097,"585",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400189,"589",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400192,"578",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400194,"526",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400197,"562",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400198,"590",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400199,"580",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400200,"586",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400201,"588",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400202,"591",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400203,"593",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400211,"554",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400212,"592",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400213,"551",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400215,"527",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400216,"528",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
