deviceid,company_name,totalLocations
400508,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,1043
400509,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,2457
400510,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,1442
400679,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400680,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,2900
400743,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400745,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,1534
400792,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
401050,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
401564,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
410001,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,2993
410003,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,1584
410239,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
410240,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,1441
411006,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,2555
411316,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,1451
411939,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
411989,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
411990,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,2245
901591,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
901793,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
901832,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
901845,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
901846,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
901847,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
901848,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
901952,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,2881
902107,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,1597
